Pressure (Pa),Specific Volume Liquid (m^3/kg)
12914.96092416301,0.0013843903317053172
13385.33618592054,0.0013855004454746828
13870.092012028053,0.0013866128199925163
14369.57568906171,0.0013877274838108849
14884.140291639651,0.0013888444654220442
15414.14472633111,0.0013899637932583433
15959.953765447659,0.001391085495692229
16521.93808493895,0.0013922096010363333
17100.474303032956,0.0013933361375436531
17695.945009503877,0.0013944651334078207
18308.738809162816,0.0013955966167634591
18939.250347706602,0.0013967306156866409
19587.880348192448,0.0013978671581954282
20255.03564430568,0.0013990062722505031
20941.129208813778,0.0014001479857559003
21646.58018815171,0.0014012923265598147
22371.81392846389,0.0014024393224555175
23117.26200648395,0.0014035890011823476
23883.36225863083,0.0014047413904268045
24670.558807565838,0.0014058965178237227
25479.302086747368,0.001407054410957541
26310.048870698298,0.001408215097363661
27163.262295721022,0.0014093786045298866
28039.411887561062,0.0014105449598979612
28938.97357988765,0.0014117141908651842
29862.42974396665,0.0014128863247861135
30810.269203063424,0.001414061388974363
31782.987256420474,0.0014152394107044706
32781.08570160961,0.0014164204172138573
33805.07284891113,0.0014176044357048713
34855.46354263286,0.0014187914933469089
35932.7791784375,0.0014199816172786144
37037.547719423754,0.0014211748346101686
38170.303712124936,0.0014223711724256458
39331.588300211806,0.0014235706577854566
40521.94924192657,0.00142477331772886
41741.94092022434,0.001425979179276557
42992.12435755432,0.001427188269433356
44273.06722553225,0.0014284006151909121
45585.34385870864,0.0014296162435305383
46929.53526150431,0.0014308351814260884
48306.229121531695,0.0014320574558469082
49716.01981210138,0.0014332830937608641
51159.508407341484,0.0014345121221374236
52637.302685189476,0.0014357445679508184
54150.017131843255,0.0014369804581832698
55698.272951782725,0.00143821981982827
57282.69806931293,0.0014394626798939366
58903.927132848126,0.001440709065406432
60562.60152101636,0.001441959003413433
62259.36934128059,0.0014432125209876707
63994.88543329249,0.001444469645230533
65769.81137037187,0.0014457304032757133
67584.81545948028,0.001446994822292932
69440.57274102715,0.0014482629294917046
71337.76498781852,0.001449534752125172
73277.08070244557,0.0014508103174939832
75259.21511534808,0.0014520896529502377
77284.87018399064,0.00145337278590147
79354.75458462202,0.0014546597438147109
81469.5837113295,0.0014559505542205678
83630.0796710076,0.0014572452447173894
85836.97127423703,0.0014585438429754634
88090.99403320684,0.0014598463767412661
90392.89015323092,0.0014611528738417664
92743.40852380858,0.0014624633621887818
95143.30471337977,0.0014637778697833717
97593.34095770592,0.0014650964247202942
100094.2861518564,0.0014664190551925014
102646.91584187154,0.0014677457894956792
105252.01221261386,0.0014690766560328458
107910.36407595075,0.0014704116833189915
110622.76686403973,0.0014717508999857536
113390.02261025584,0.0014730943347861666
116212.9399445299,0.0014744420165994216
119092.33407293784,0.001475793974435703
122029.02677076732,0.001477150237441055
125023.84636510635,0.0014785108349022918
128077.62772102322,0.0014798757962519642
131191.21222734536,0.0014812451510733673
134365.44778123917,0.0014826189291055846
137601.1887718093,0.0014839971602485943
140899.29606602003,0.0014853798745684064
144260.63699021924,0.001486767102302255
147686.0853145239,0.0014881588738638292
151176.52123543283,0.0014895552198485593
154732.8313568691,0.0014909561710389392
158355.90867518928,0.0014923617584099015
162046.65255800728,0.0014937720131342398
165805.96872541518,0.0014951869665880805
169634.76923619193,0.0014966066503563841
173533.9724600737,0.0014980310962385288
177504.50306574858,0.0014994603362539095
181547.29199574672,0.0015008944026476032
185663.27645207715,0.0015023333278960825
189853.39986777568,0.0015037771447129781
194118.6118949228,0.001505225886054885
198459.8683756483,0.001506679585127241
202878.1313277908,0.0015081382753902282
207374.3689200239,0.0015096019905647543
211949.55544962466,0.0015110707646384756
216604.67132190525,0.0015125446318718745
221340.70302912558,0.0015140236268043972
226158.64312624894,0.001515507784260645
231059.4902113588,0.0015169971393566247
236044.24889762158,0.0015184917275060659
241113.92979769508,0.0015199915844267753
246269.54949607767,0.0015214967461470864
251512.1305271176,0.0015230072490123384
256842.70135218493,0.0015245231296914432
262262.2963371362,0.0015260444251835026
267771.9557272975,0.0015275711728245014
273372.72562510264,0.0015291034102940632
279065.6579668004,0.0015306411756222764
284851.81049728935,0.0015321845071965931
290732.24674722715,0.0015337334437688008
296708.0360119253,0.0015352880244620599
302780.2533216587,0.0015368482887780327
308949.9794233012,0.0015384142766040757
315218.3007528357,0.0015399860282205205
321586.30941296276,0.0015415635843080303
328055.10314989404,0.0015431469859550372
334625.7853271708,0.0015447362746652843
341299.4649029535,0.0015463314923654199
348077.2564049376,0.001547932681412723
354960.2799099967,0.0015495398846028777
361949.66101326875,0.0015511531451778832
369046.5308114341,0.001552772506834021
376252.02587554045,0.001554398013729956
383567.2882254294,0.0015560297104949127
390993.4653085902,0.0015576676422369633
398531.7099756204,0.001559311854551437
406183.18045641924,0.0015609623935294054
413949.0403355777,0.0015626193057663154
421830.45853085123,0.001564282638370712
429828.60926684435,0.001565952438973093
437944.6720547086,0.0015676287557348768
446179.8316673492,0.001569311637357491
454535.2781138115,0.001571001133091607
463012.20662308286,0.0015726972927464745
471611.8176114701,0.0015744001666994228
480335.3166689839,0.0015761098059054693
489183.91452987806,0.0015778262619070942
498158.82705495215,0.0015795495868441386
507261.2752043777,0.0015812798334638753
516492.48502097355,0.0015830170551311999
525853.6876028443,0.0015847613058390122
535346.1190848472,0.0015865126402187333
544971.0206155163,0.001588271113551001
554729.63833533,0.001590036781776525
564623.2233564389,0.0015918097015071317
574653.031739635,0.001593589930036967
584820.324475231,0.0015953775253538956
595126.3674623282,0.0015971725461510846
605572.4314844888,0.0015989750518387916
616159.792196752,0.0016007851025563232
626889.7300958373,0.0016026027591842336
637763.5305099555,0.0016044280833567015
648782.4835726437,0.0016062611374741405
659947.8842053907,0.0016081019847160325
671261.0320990583,0.0016099506890539651
682723.2316930362,0.0016118073152649422
694335.792160724,0.0016136719289448875
706100.0273850748,0.0016155445965224324
718017.2559474972,0.0016174253852729381
730088.8011043977,0.001619314363332783
742315.9907719037,0.0016212115997139209
754700.1575091197,0.001623117164318706
767242.6385007139,0.0016250311279550063
779944.7755401054,0.0016269535623516058
792807.9150140807,0.0016288845401739094
805833.4078854361,0.0016308241350399444
819022.6096798198,0.0016327724215366908
832376.8804673791,0.001634729475236726
845897.5848511783,0.0016366953727152066
859586.091949007,0.0016386701915671975
873443.7753839355,0.001640654010425345
887472.0132655422,0.0016426469089779218
901672.18818017,0.0016446489679872438
916045.6871764499,0.0016466602693084604
930593.9017526258,0.0016486808959087571
945318.2278448918,0.0016507109318869542
960220.0658158484,0.001652750462493523
975300.8204417723,0.00165479957415104
990561.900903823,0.0016568583544750745
1006004.7207757607,0.0016589268922955417
1021630.6980136087,0.0016610052776785233
1037441.2549495145,0.0016630936019485624
1053437.818277964,0.0016651919577114664
1069621.8190500203,0.0016673004388776207
1085994.6926647737,0.0016694191406858262
1102557.8788619607,0.0016715481597276785
1119312.8217130178,0.001673687593972522
1136260.9696174338,0.0016758375427929479
1153403.775293951,0.0016779981069909278
1170742.6957759112,0.0016801693888245295
1188279.1924077359,0.0016823514920352694
1206014.7308379407,0.0016845445218761222
1223950.7810173726,0.001686748585140191
1242088.8171933414,0.0016889637901900828
1260430.3179123348,0.0016911902469879613
1278976.7660096255,0.0016934280671263896
1297729.6486153733,0.0016956773638598715
1316690.4571501804,0.0016979382521372086
1335860.687324549,0.0017002108486346551
1355241.8391415332,0.0017024952717898882
1374835.4168952294,0.0017047916418368658
1394642.9291747038,0.0017071000808415349
1414665.888865347,0.0017094207127384675
1434905.8131529843,0.001711753663368436
1455364.2235250347,0.001714099060516985
1476042.6457799657,0.0017164570339539382
1496942.6100278965,0.0017188277154740262
1518065.650700001,0.0017212112389385227
1539413.3065536479,0.001723607740318013
1560987.1206812114,0.001726017357736301
1582788.640516798,0.0017284402315154855
1604819.4178494294,0.001730876504222263
1627081.008828062,0.0017333263207155003
1649574.9739776473,0.0017357898281950839
1672302.8782078368,0.0017382671762521352
1695266.2908275477,0.001740758516920615
1718466.7855577413,0.0017432640047303628
1741905.9405461326,0.0017457837967616253
1765585.3383848055,0.0017483180527011234
1789506.5661240935,0.001750866934899722
1813671.2152923555,0.0017534306084317382
1838080.881913782,0.0017560092411559633
1862737.1665285924,0.0017586030037784477
1887641.674214026,0.0017612120699171127
1912796.0146050637,0.0017638366161682765
1938201.8019183925,0.0017664768221751135
1963860.6549779589,0.0017691328706981651
1989774.1972373757,0.0017718049476879623
2015944.0568084493,0.0017744932423598091
2042371.8664887627,0.0017771979472708604
2069059.263790337,0.0017799192583995158
2096007.8909698732,0.0017826573752272776
2123219.395060775,0.001785412500823096
2150695.427905444,0.0017881848419303793
2178437.6461897492,0.001790974609056669
2206447.7114794534,0.0017937820165661847
2234727.2902566297,0.0017966072827752563
2263278.053957516,0.0017994506300508333
2292101.6790139396,0.0018023122849121073
2321199.846894837,0.00180519247813545
2350574.2441481915,0.0018080914448627369
2380226.5624456443,0.0018110094247132424
2410158.4986305144,0.001813946661899144
2440371.754766239,0.0018169034053449374
2470868.0381825063,0.001819879908810789
2501649.061529829,0.0018228764310200163
2532716.5428337962,0.0018258932357908882
2564072.205546561,0.0018289305921729208
2595717.778606829,0.0018319887745878087
2627654.9964981684,0.0018350680629752338
2659885.5993084125,0.00183816874294372
2692411.3327956935,0.0018412911059267694
2725233.9484515055,0.0018444354493444709
2758355.203566207,0.0018476020767708684
2791776.8613034044,0.0018507912981072206
2825500.690766313,0.001854003429761592
2859528.4670750713,0.0018572387948348143
2893861.971441289,0.0018604977233133203
2928502.99124832,0.0018637805522689831
2963453.3201298043,0.001867087626066362
2998714.758057259,0.0018704192965776506
3034289.1114229346,0.0018737759234056482
3070178.1931308564,0.0018771578741152094
3106383.822687531,0.001880565524473397
3142907.8262980497,0.001883999258698907
3179752.036961613,0.001887459469721072
3216918.2945739264,0.0018909465594489114
3254408.446029646,0.0018944609390507594
3292224.3453302244,0.0018980030292448519
3330367.8536925707,0.0019015732606015175
3368840.839663323,0.0019051720738574467
3407645.1792356316,0.0019087999202425769
3446782.755969804,0.0019124572618203764
3486255.4611156946,0.0019161445718419712
3526065.1937428033,0.0019198623351149161
3566213.86086996,0.001923611048387336
3606703.3776011,0.0019273912207481646
3647535.6672660355,0.001931203374044252
3688712.661563608,0.0019350480433153472
3730236.300709442,0.0019389257772476766
3772108.5335891973,0.0019428371386472198
3814331.317916175,0.0019467827049336193
3856906.6203913363,0.001950763068655907
3899836.4168745982,0.0019547788380310286
3943122.692551424,0.0019588306375065987
3986767.4421136146,0.001962919108348969
4030772.6699425513,0.00196704490925818
4075140.3902944434,0.0019712087170111075
4119872.6274966323,0.001975411227134464
4164971.416147835,0.001979653154609208
4210438.801322633,0.0019839352346083115
4256276.838786814,0.0019882582232695067
4302487.595214642,0.00199262289850529
4349073.148414541,0.0019970300608521175
4396035.587565766,0.0020014805343611694
4443377.013454927,0.0020059751675331676
4491099.538728182,0.002010514834299689
4539205.288146198,0.0020151004350540134
4587696.398848644,0.002019732897734265
4636575.020628257,0.0020244131789621395
4685843.316213931,0.0020291422652407155
4735503.461562015,0.0020339211742148454
4785557.646158215,0.0020387509559982647
4836008.073330045,0.0020436326945715154
4886856.960569679,0.0020485675092552927
4938106.539868846,0.0020535565562640385
4989759.058062969,0.002058601030345215
5041816.777191758,0.0020637021665096517
5094281.974869189,0.0020688612418593606
5147156.94466749,0.0020740795775191765
5200443.996521365,0.0020793585406794555
5254145.457135057,0.002084699546757531
5308263.6704202145,0.0020901040616860345
5362800.997937708,0.002095573604337414
5417759.819366744,0.0021011097490939894
5473142.5329849,0.0021067141285743933
5528951.556175755,0.002112388436527674
5585189.325949635,0.00211813443090763
5641858.299684774,0.0021239539371406975
5698960.954858678,0.0021298488516023266
5756499.791028686,0.0021358211453177613
5814477.329420766,0.002141872867904567
5872896.1138698105,0.0021480061517764166
5931758.711503644,0.0021542232166283887
5991067.713446079,0.0021605263742272983
6050825.735562077,0.0021669180335314397
6111035.4192337,0.0021734007061676767
6171699.432172842,0.002179977012295863
6232820.469274722,0.0021866496868937976
6294401.253512649,0.0021934215864992932
6356444.536877093,0.0022002956964497964
6418953.101358803,0.0022072751386642006
6481929.759984942,0.0022143631800161045
6545377.357908108,0.0022215632413534704
6609298.773548244,0.0022288789072255717
6673696.919797484,0.002236313936384913
6738574.745288346,0.002243872273139749
6803935.235730423,0.002251558059641623
6869781.415319066,0.0022593756492027806
6936116.348225835,0.0022673296207491485
7002943.140171809,0.0022754247945288887
7070264.940092431,0.002283666249210899
7138084.941901671,0.0022920593405255855
7206406.3863638295,0.0023006097216206126
7275232.56283701,0.0023093233653272284
7344566.812612945,0.0023182065885641984
7414412.528718354,0.002327266079124384
7484773.160772333,0.002336508925154244
7555652.216330474,0.0023459426476457003
7627053.263882542,0.0023555752363391192
7698979.935807433,0.0023654151894838163
7771435.931546839,0.002375471557978649
7844425.021026229,0.0023857539945012947
7917951.048345139,0.002396272808338376
7992017.935769323,0.0024070390267525226
8066629.688056011,0.00241806446387208
8141790.397153197,0.002429361798270182
8217504.24731194,0.0024409446606211836
8293775.520665462,0.0024528277330900573
8370608.603325084,0.0024650268624434903
8448007.992063146,0.0024775591892774434
8525978.301647764,0.002490443296265501
8604524.272920921,0.002503699378963712
8683650.781709546,0.002517349443504336
8763362.848682825,0.002531417536517472
8843665.65028638,0.0025459300139005717
8924564.530897029,0.0025609158567018162
9006065.016381789,0.002576407044508986
9088172.829258952,0.002592438999512642
9170893.90571076,0.002609051118065722
9254234.414733268,0.002626287411421178
9338200.779770665,0.0026441972838619414
9422799.70325435,0.002662836485320216
9508038.194546467,0.0026822682878177785
9593923.601909341,0.00270256495213976
9680463.649261076,0.002723809575363898
9767666.478662815,0.002746098444746894
9855540.699718641,0.0027695440746374786
9944095.4473964,0.002794279179654494
10033340.450185042,0.0028204619545206485
10123286.111082893,0.0028482832146659123
10213943.604686763,0.00287797624797786
10305324.994735762,0.0029098307211667205
10397443.378006991,0.0029442128351706066
10490313.062689079,0.002981595455644724
10583949.79266132,0.0030226048409683092
10678371.034171615,0.0030680964008370807
10773596.349411536,0.0031192844475993733
10869647.894877642,0.0031779804765817623
10966551.106625542,0.0032470730431169137
11064335.684927372,0.003331627429457548
11163037.127719942,0.003441957897431607
11262699.676201466,0.003605981899179052
11363391.162815327,0.004287245409511206
